	airport1_km	airport2_km	info	latitude	longitude	person_count	price	room_size	score	sightseen_count	url	votes
10		47.5	"
Двухместный номер с 1 кроватью
"	39.3754284704	3.23662698269	2.0	14765.0		9.1	10.0	/hotel/es/inturotel-cala-esmeralda.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=19128001_99731053_0_17_0;all_sr_blocks=19128001_99731053_0_17_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=11;hapos=11;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX11;from=searchresults;highlight_room=#hotelTmpl	554.0
11	77.7	56.1	"
Двухместный номер с 1 кроватью
"	39.5891148693	3.38413238525	2.0	11043.0		8.9	6.0	/hotel/es/hipocampo-playa.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=2678801_95150573_0_2_0;all_sr_blocks=2678801_95150573_0_2_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=12;hapos=12;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX12;from=searchresults;highlight_room=#hotelTmpl	425.0
12		1.7	"
Двухместный номер с 1 кроватью
"	39.5360728733	2.71753529261	2.0	8817.0		7.7	10.0	/hotel/es/balear.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=9090302_88492777_0_1_0;all_sr_blocks=9090302_88492777_0_1_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=13;hapos=13;dest_type=region;dest_id=767;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX13;from=searchresults;highlight_room=#hotelTmpl	2003.0
13		46.8	"
Апартаменты
"	39.3753268755	3.22748064995	2.0	8808.0	45.0	9.0	10.0	/hotel/es/inturotel-sa-marina.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=19125501_105149799_0_0_0;all_sr_blocks=19125501_105149799_0_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=14;hapos=14;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX14;from=searchresults;highlight_room=#hotelTmpl	603.0
14	77.4	56.2	"
Двухместный номер с 1 кроватью
"	39.5960130314	3.3837211131	2.0	13744.0		8.8	6.0	/hotel/es/sentido-castell-de-mar.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888f9b8b9026e;srepoch=1512761332;highlighted_blocks=24252616_106815739_0_33_0;all_sr_blocks=24252616_106815739_0_33_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=15;hapos=15;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX15;from=searchresults;highlight_room=#hotelTmpl	511.0
15	94.6	45.2	"
Номер-студио
"	39.8305735052	3.11033070082	3.0	4646.0	30.0	6.2	8.0	/hotel/es/apartamentosbellevue.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=9097217_105297548_3_0_0;all_sr_blocks=9097217_105297548_3_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=1;hapos=16;dest_type=region;dest_id=767;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX16;from=searchresults;highlight_room=#hotelTmpl	1675.0
16	77.8	56.0	"
Двухместный номер с 1 кроватью
"	39.589873455	3.38202953339	2.0	15081.0		9.1	3.0	/hotel/es/hipocampo-palace.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=2678601_95150568_0_2_0;all_sr_blocks=2678601_95150568_0_2_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=2;hapos=17;dest_type=region;dest_id=767;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX17;from=searchresults;highlight_room=#hotelTmpl	446.0
17		1.5	"
Двухместный номер с 2 отдельными кроватями
"	39.534377648	2.72494782103	2.0	13764.0		8.2	10.0	/hotel/es/hotelleo.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=9178407_105842316_2_1_0;all_sr_blocks=9178407_105842316_2_1_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=3;hapos=18;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX18;from=searchresults;highlight_room=#hotelTmpl	419.0
18	96.2	48.0	"
Апартаменты
"	39.4125483785	3.26167345047	3.0	11160.0	30.0	6.6	8.0	/hotel/es/pierre-vancances-mallorca-portomar.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=85041201_103966444_3_0_0;all_sr_blocks=85041201_103966444_3_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=4;hapos=19;dest_type=region;dest_id=767;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX19;from=searchresults;highlight_room=#hotelTmpl	531.0
19	98.2	48.9	"
Апартаменты
"	39.9033003697	3.06727766991	4.0	11596.0	40.0	8.1	7.0	/hotel/es/aparthotel-duva-spa.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=18921802_88495048_4_42_0;all_sr_blocks=18921802_88495048_4_42_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=5;hapos=20;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX20;from=searchresults;highlight_room=#hotelTmpl	515.0
